Agency Name,URL,Summary,Acronym,Alias
Governor's Office,https://governor.maryland.gov/,"The Governor's Office, formally known as the Executive Department, serves as the administrative support for the Governor of Maryland, who functions as the state's chief executive. The agency is responsible for overseeing the executive branch of the state government, enforcing state laws, proposing the annual state budget, and appointing officials to various boards, commissions, and judiciary positions. Additionally, the office coordinates policy initiatives, manages intergovernmental relations with federal and local entities, and supports the Governor's role as commander-in-chief of Maryland's military forces.",GOV,Office of the Governor; Executive Department; Governor's Executive Council
Lt. Governor,https://governor.maryland.gov/Pages/biography.aspx,"The Lieutenant Governor of Maryland serves as the second-highest-ranking official in the state's executive branch and is elected on a joint ticket with the Governor. The Office of the Lieutenant Governor does not possess independent statutory powers but performs duties specifically delegated by the Governor, which typically include chairing various task forces, commissions, and advisory councils, such as those related to mental health, STEM equity, and work zone safety. Additionally, the agency manages the Lieutenant Governor's role in representing the state at ceremonial functions, attending cabinet meetings, and preparing to succeed the Governor in the event of a vacancy or inability to serve.",LG,Office of the Lieutenant Governor; Lieutenant Governor's Office; Maryland Lieutenant Governor
Comptroller of Maryland,https://www.marylandtaxes.gov/,"The Comptroller of Maryland functions as the state's chief financial officer and principal tax collector. The agency is responsible for collecting state revenues, including income, sales, and motor fuel taxes, as well as enforcing tax laws and auditing taxpayers. Additionally, the Comptroller regulates the alcohol, tobacco, and motor fuel industries, administers unclaimed property, pays state bills and employees, and serves as a key member of the Board of Public Works, which oversees significant state contracts and expenditures.",,Comptroller of the Treasury; Office of the Comptroller; Maryland Comptroller
Maryland State Treasurer's Office,https://www.treasurer.state.md.us/,"The Maryland State Treasurer's Office acts as the state's chief financial agency, responsible for the management and protection of state funds and property. Its primary duties include receiving, depositing, investing, and distributing state funds, as well as anticipating the state's monetary needs. The Treasurer serves as the principal custodian of cash deposits, bond sale revenue, and other securities. Additionally, the agency manages the state's insurance protection (via the State Insurance Trust Fund), oversees the issuance of State bonds, and administers the Maryland 529 college savings program. The State Treasurer also holds a key position on the Board of Public Works, which approves significant state procurements and contracts.",STO,Office of the State Treasurer; MSTO; Maryland Treasurer's Office; Treasurer of the Western Shore; Treasurer of the Eastern Shore
Office of the Attorney General,https://www.marylandattorneygeneral.gov/,"The Office of the Attorney General (OAG) serves as the chief legal officer and primary legal representative for the State of Maryland. Its responsibilities include providing legal counsel to the Governor, the General Assembly, the Judiciary, and all state agencies, boards, and commissions. The agency enforces state laws regarding consumer protection, antitrust, and securities; prosecutes Medicaid provider fraud; investigates police-involved fatalities; and represents the state in all civil and criminal appeals in state and federal courts.",OAG,State Law Department; Attorney General's Office; Maryland Attorney General
Department of Aging,https://aging.maryland.gov/,"The Maryland Department of Aging (MDoA) is a cabinet-level executive agency dedicated to protecting the rights and improving the quality of life for older adults, people with disabilities, and their caregivers in Maryland. The department oversees a statewide network of local Area Agencies on Aging to administer federal and state programs, providing essential services such as long-term care advocacy, housing assistance, nutrition programs, health promotion, and caregiver support.",MDoA,State Coordinating Commission on the Problems of the Aging; Commission on the Aging; Office on Aging
Department of Agriculture,https://mda.maryland.gov/,"The Maryland Department of Agriculture (MDA) is a cabinet-level executive agency responsible for providing leadership and support to the state's agricultural community and citizens. Established in 1972, it conducts regulatory, service, and educational activities designed to assure consumer confidence, protect environmental resources, and promote the economic viability of farming and agribusiness. The agency oversees a wide range of programs including animal health, food quality assurance, pesticide regulation, soil conservation, and the marketing of local agricultural products.",MDA,Board of Agriculture; Maryland State Board of Agriculture
Department of Budget and Management,https://dbm.maryland.gov/,"The Department of Budget and Management (DBM) is the principal fiscal and personnel agency for the State of Maryland. It is responsible for developing the state's budget, supervising budget execution, estimating revenues, and engaging in long-term fiscal planning to ensure efficiency in state government. Additionally, the department serves as the central personnel agency, managing state employee resources, benefits, and policies.",DBM,Department of Budget and Fiscal Planning; Department of Budget and Procurement
Department of Commerce,https://commerce.maryland.gov/,"The Maryland Department of Commerce is the state's primary economic development agency, tasked with stimulating the economy and creating jobs by attracting new businesses, retaining and expanding existing companies, and promoting Maryland's assets domestically and internationally. The agency provides financial assistance, tax credits, and workforce training programs, while also overseeing tourism, film, and the arts to enhance the state's competitive position in the global marketplace.",,Maryland Department of Business and Economic Development; DBED; Department of Economic and Employment Development; DEED; Department of Economic and Community Development; DECD; Maryland Commerce
Department of Disabilities,https://mdod.maryland.gov/Pages/Home.aspx,"The Maryland Department of Disabilities is the principal state agency responsible for coordinating and improving the delivery of services to Maryland residents with disabilities. The department works collaboratively with all other state agencies to ensure that programs, policies, and services are inclusive and provided in the most integrated settings possible. Its primary areas of focus include advancing accessible housing, employment opportunities, transportation, community living, and assistive technology, as well as supporting youth transitioning into adulthood.",MDOD,Office for the Coordination of Services to the Handicapped; Office for Handicapped Individuals; Office for Individuals with Disabilities
Department of Education,https://www.marylandpublicschools.org/pages/default.aspx,"The Maryland State Department of Education (MSDE) is the state agency responsible for the oversight and leadership of Maryland's public education system, which includes 24 local school systems. The agency sets educational policies and standards for pre-kindergarten through high school, administers state and federal funding, certifies educators, and manages programs related to early childhood development, special education, and vocational rehabilitation.",MSDE,Maryland State Department of Education; State Department of Education
Department of Emergency Management,https://mdem.maryland.gov/,"The Maryland Department of Emergency Management (MDEM) is the principal state agency responsible for coordinating Maryland's preparedness, response, and recovery efforts for emergencies and disasters. Reporting directly to the Governor, the department manages hazard mitigation, incident response, and disaster recovery operations while supporting local jurisdictions and coordinating with federal partners like FEMA. MDEM also oversees the Maryland 9-1-1 Board and works to ensure the state's resilience against natural and man-made hazards.",MDEM,Maryland Emergency Management Agency; MEMA; State Emergency Management and Civil Defense Agency; Maryland Civil Defense and Disaster Preparedness Agency; Maryland Civil Defense and Emergency Planning Agency; Maryland Civil Defense Agency
Department of the Environment,https://www.mde.maryland.gov/,"The Maryland Department of the Environment (MDE) acts as the state's primary agency for environmental protection and restoration. Established in 1987, it is responsible for implementing and enforcing state and federal environmental laws regarding air, land, and water quality. The agency's key functions include issuing pollution control permits, overseeing public water systems, supervising the cleanup of hazardous waste sites, and providing technical and financial assistance to communities for environmental infrastructure improvements.",MDE,Office of Environmental Programs; OEP
Department of General Services,https://dgs.maryland.gov/,"The Maryland Department of General Services (DGS) functions as the primary operational support agency for the state government, ensuring that state agencies have the facilities and services needed to operate efficiently. Its core responsibilities include the planning, design, construction, and maintenance of state-owned facilities, as well as the management of real estate leasing and acquisition. The agency also serves as the central procurement authority for the state, overseeing the purchase of goods and services. Additional duties include managing the state's vehicle fleet, leading sustainability and energy conservation initiatives, and providing security through the Maryland Capitol Police.",DGS,Maryland DGS; Department of Public Improvements; Public Buildings and Grounds
Department of Health,https://health.maryland.gov/,"The Maryland Department of Health (MDH) is the state agency dedicated to protecting and improving the health and safety of all Maryland residents. It is responsible for a wide range of public health services, including behavioral health, developmental disabilities support, and the administration of the state's Medicaid program (Health Care Financing). The department sets health policy, regulates health care professionals and facilities, and oversees local health departments to ensure equitable access to care across the state.",MDH,Department of Health and Mental Hygiene; DHMH
Department of Housing and Community,https://dhcd.maryland.gov/,"The Maryland Department of Housing and Community Development (DHCD) is responsible for ensuring that all state residents have access to safe, affordable, and secure housing within thriving communities. The agency works with partners to finance and support homeownership, rental housing, small business development, and municipal infrastructure projects. Additionally, it administers community revitalization investments, energy efficiency programs, and homeless solutions to enhance the quality of life and economic vitality across Maryland.",DHCD,Maryland DHCD; Department of Economic and Community Development; Maryland Housing and Community Development Authority
Department of Human Services,https://dhs.maryland.gov/,"The Maryland Department of Human Services (DHS) is the state's primary social service provider, dedicated to assisting residents who are in economic need, facing homelessness, or requiring protection from abuse and neglect. The agency administers a wide range of programs including food and cash assistance (SNAP), energy assistance, child support services, foster care, and adoption services. It operates through 24 local departments to deliver preventative services and aid to vulnerable children and adults across Maryland.",DHS,Maryland Department of Human Resources; DHR; Department of Human Resources
Department of Information Technology,https://doit.maryland.gov/,"The Maryland Department of Information Technology (DoIT) is the principal agency responsible for the state's information technology and telecommunications strategy, infrastructure, and security. Established as a cabinet-level department in 2008, DoIT consolidates IT functions to support Executive Branch agencies, coordinating offices, and independent commissions. Its primary duties include managing the statewide network, overseeing cybersecurity and data governance, creating IT master plans, and providing digital services to ensure efficient and accessible government operations for Maryland residents.",DoIT,Office of Information Technology; OIT; Department of Budget and Management Office of Information Technology
Department of Juvenile Services,https://djs.maryland.gov/,"The Department of Juvenile Services (DJS) is the Maryland executive agency responsible for managing, supervising, and treating youth involved in the state's juvenile justice system. Its primary responsibilities include assessing the individual needs of youth, providing community-based probation and aftercare services, and operating secure residential facilities for detained and committed youth. The agency focuses on balancing public safety with the rehabilitation of young offenders to help them become productive and responsible members of the community.",DJS,Department of Juvenile Justice; Juvenile Services Administration; JSA; Juvenile Services; Maryland Department of Juvenile Justice
Department of Labor,https://www.labor.maryland.gov/,"The Maryland Department of Labor (MD Labor) protects workers, consumers, and the public while fostering economic growth and supporting businesses in the state. The agency's primary responsibilities include supervising workforce development and adult learning programs, administering unemployment insurance, enforcing workplace safety and labor laws, and overseeing the licensing and regulation of various professions, industries, and financial institutions.",MD Labor,"Department of Labor, Licensing, and Regulation; DLLR; Department of Licensing and Regulation; DLR; Department of Employment and Training; Department of Employment and Social Services; Department of Labor and Industry; State Board of Labor and Statistics; Bureau of Statistics and Information"
Department of Natural Resources,https://dnr.maryland.gov/,"The Maryland Department of Natural Resources (DNR) is the state agency responsible for conserving, managing, and enhancing Maryland's natural resources, including its forests, fisheries, wildlife, state parks, and waterways. The department manages over 500,000 acres of public lands, enforces conservation laws through the Natural Resources Police, and leads restoration efforts for the Chesapeake Bay and Atlantic Coastal Bays to ensure sustainable use for recreation and economic benefit.",DNR,Maryland Board of Natural Resources; Board of Natural Resources
Department of Planning,https://planning.maryland.gov/,"The Maryland Department of Planning (MDP) is a cabinet-level executive agency responsible for promoting sustainable growth, economic development, and environmental preservation through comprehensive land use planning. The agency provides data analysis, technical assistance, and policy guidance to local governments, businesses, and community organizations to ensure effective resource management and infrastructure development. Additionally, it oversees the state's historical and cultural programs, including the administration of the Maryland Historical Trust and the Jefferson Patterson Park and Museum.",MDP,State Planning Commission; State Planning Department; Department of State Planning; Maryland Office of Planning; Office of Planning
Department of Public Safety and Correctional Services,https://dpscs.maryland.gov/,"The Maryland Department of Public Safety and Correctional Services (DPSCS) is a principal department of the Maryland state government responsible for the supervision and rehabilitation of justice-involved individuals. Created in 1970, the agency oversees the state's correctional facilities, pretrial detention centers, and the Division of Parole and Probation. Its mission focuses on protecting the public, its employees, and detainees through secure incarceration, effective community supervision, and rehabilitation programs designed to reduce recidivism.",DPSCS,Department of Correctional Services; Department of Correction; MD DPSCS; Public Safety
Department of Service and Civic Innovation,https://dsci.maryland.gov/,"The Department of Service and Civic Innovation (DSCI) promotes service, volunteerism, and civic engagement across Maryland. Established in 2023 through the SERVE Act, the agency creates workforce pathways by connecting residents—particularly recent high school graduates—with paid service opportunities through programs like the Service Year Option and Maryland Corps. Its primary mission is to strengthen communities and develop the state's talent pipeline by partnering with non-profits, businesses, and government agencies to address pressing local needs.",DSCI,Governor's Office on Service and Volunteerism; GOSV; Governor's Commission on Service and Volunteerism; Office on Volunteerism; Volunteer Maryland
Department of Transportation,https://www.mdot.maryland.gov/,"The Maryland Department of Transportation (MDOT) is the diverse, multi-modal agency responsible for building, maintaining, and operating the state's transportation network. Established in 1971, it oversees five primary administrations: the State Highway Administration (SHA), Maryland Transit Administration (MTA), Motor Vehicle Administration (MVA), Maryland Port Administration (MPA), and Maryland Aviation Administration (MAA), as well as the Maryland Transportation Authority (MDTA). Its scope includes the management of state highways, bridges, toll facilities, public transit systems (including buses, light rail, and commuter trains), the Port of Baltimore, and Baltimore/Washington International Thurgood Marshall Airport, in addition to handling driver licensing and vehicle registration.",MDOT,Maryland DOT; MD Transportation Dept
Department of Veterans & Military Families,https://veterans.maryland.gov/,"The Maryland Department of Veterans and Military Families (DVMF) is the principal state executive agency responsible for assisting Maryland's veterans, active-duty service members, and their families in securing benefits and services. The department provides advocacy and support regarding federal and state benefits, such as health care, education, and housing. Additionally, it manages the state's veteran cemeteries and memorials, oversees the Charlotte Hall Veterans Home, and operates outreach programs to ensure military families have access to necessary resources.",DVMF,Maryland Department of Veterans Affairs; MDVA; Maryland Veterans Commission; Veterans Relief Commission; Soldiers' Relief Fund Commission
Adjutant General of Maryland,https://governor.maryland.gov/leadership/cabinet/Pages/adjutant-general-of-maryland.aspx,"The Adjutant General of Maryland acts as the head of the Maryland Military Department, serving as the Governor's senior military advisor and overseeing the daily operations of the state's military forces. The agency is responsible for the readiness, training, and deployment of the Maryland Army National Guard, the Maryland Air National Guard, and the Maryland Defense Force. Its primary mission involves providing trained personnel and equipment for federal national security missions while also responding to domestic state emergencies, such as natural disasters, civil unrest, and public health crises.",TAG,Maryland Military Department; MMD; Office of the Adjutant General
Higher Education Commission,https://mhec.maryland.gov/,"The Maryland Higher Education Commission is the state's regulatory and coordinating board responsible for establishing statewide policies for public and private colleges, universities, and for-profit career schools. The agency oversees the approval and continuation of new institutions and academic programs, ensures adherence to academic and financial standards, and administers over $100 million annually in state financial aid programs to assist residents in accessing postsecondary education.",MHEC,Advisory Council on Higher Education; Maryland Council for Higher Education; State Board for Higher Education
Maryland State Police,https://mdsp.maryland.gov/,"The Maryland State Police (MSP), officially known as the Maryland Department of State Police, is the primary law enforcement agency for the state of Maryland. It is responsible for enforcing motor vehicle and criminal laws, ensuring traffic safety on state highways, and preserving the public peace across the state. In addition to highway patrol, the agency provides specialized services such as aviation command, criminal investigation, and support to local allied law enforcement agencies to safeguard the lives and property of Maryland residents.",MSP,Maryland Department of State Police; MDSP; Maryland State Police Force; State Police Force; Department of Maryland State Police
Office of Appointments,https://govappointments.maryland.gov/,"The Office of Appointments, functioning within the Executive Department, assists the Governor of Maryland in fulfilling their constitutional and statutory responsibility to appoint qualified individuals to state government positions. Its primary duty is to recruit, vet, and recommend candidates for over 600 state boards, commissions, task forces, and advisory councils, as well as for judicial vacancies and prosecutorial roles. The office manages the entire appointment process, from application to confirmation, ensuring that the state's leadership reflects the diversity of Maryland's population.",,Governor's Appointments Office; Executive Department - Office of Appointments; Appointments Office
Secretary of State,https://sos.maryland.gov/,"The Maryland Secretary of State (SOS) is the principal custodian of the Great Seal of Maryland and the state's official records, including executive orders, laws, and commissions. The agency manages the registration and oversight of charitable organizations, notaries public, trademarks, and condominiums and time-shares. Additionally, it administers the 'Safe at Home' address confidentiality program for victims of domestic violence and human trafficking, coordinates the state's international affairs and sister state programs, and processes extraditions and pardons on behalf of the Governor.",SOS,Office of the Secretary of State; MD SOS; Maryland Office of the Secretary of State
"Executive Commissions, Committees, Task Forces, and Advisory Boards",https://msa.maryland.gov/msa/mdmanual/26excom/html/00list.html,"This collective entity encompasses the various temporary and permanent bodies created or authorized by the Governor, the General Assembly, or principal executive departments to address specific government issues. Composed of appointed private citizens and public servants, these commissions, committees, task forces, and advisory boards are tasked with conducting special studies, providing expertise, coordinating agency work, or offering recommendations on defined areas of inquiry. While some bodies are ongoing with regulatory or administrative duties, others are established for a limited time to complete a specific scope of work.",,Boards and Commissions; Governor's Boards and Commissions; Executive Boards
Governor's Grants Office,https://grants.maryland.gov/Pages/Grants-Office.aspx,"The Governor's Grants Office (GGO) helps Maryland state agencies, local governments, and non-profit organizations identify, acquire, and manage federal grant funding. It serves as a central clearinghouse for federal grant information, providing training, technical assistance, and resources to improve grant management practices and compliance. The office also tracks, analyzes, and reports on the flow of federal funds into the state to support Maryland's policy priorities.",GGO,
Governor's Office for Children,https://goc.maryland.gov/,"The Governor's Office for Children (GOC) serves as a central coordinating agency dedicated to promoting the well-being of Maryland's children and families, with a specific focus on reducing child poverty. The office leads statewide efforts to build comprehensive support networks that combat youth homelessness, reduce food insecurity, and improve access to health services, education, and economic opportunities. Additionally, it administers the ENOUGH Initiative, engaging cross-sector partnerships to support historically underinvested communities.",GOC,"Office for Children and Youth; Office for Children, Youth, and Families; OCYF; Division of Children and Youth"
Governor's Office of Community Initiatives,https://www.goci.maryland.gov/,"The Governor's Office of Community Initiatives (GOCI) serves as the primary executive branch unit responsible for community affairs and engagement in Maryland. The agency oversees the Governor's Office on Service and Volunteerism, Volunteer Maryland, and various ethnic, cultural, and faith-based commissions to connect residents with government resources and economic opportunities. It advises the Governor on policies related to community services and facilitates partnerships between the state government, nonprofits, businesses, and community organizations to address local needs and promote civic participation.",GOCI,Governor's Interagency Office on Community Affairs; Office of Community Affairs
Governor's Office of Crime Prevention and Policy,https://www.goccp.maryland.gov/,"The Governor's Office of Crime Prevention and Policy (GOCPP) serves as Maryland's primary coordinating body for public safety, advising the Governor on criminal justice strategies. It manages and allocates state and federal funds to support law enforcement, victim services, and youth programs, while working to reduce crime, juvenile delinquency, and recidivism through policy development and interagency collaboration.",GOCPP,"Governor's Office of Crime Prevention, Youth, and Victim Services; Governor's Office of Crime Control and Prevention; Office of Justice Administration; Governor's Drug and Alcohol Abuse Commission"
Governor's Office of Homeland Security,https://www.gohs.maryland.gov/,"The Governor's Office of Homeland Security (GOHS) is responsible for coordinating and directing Maryland's homeland security efforts. It advises the Governor on public safety issues, develops statewide strategies for disaster prevention and response, and continually assesses the state's readiness for emergencies, including terrorist attacks. The office serves as the primary liaison to the U.S. Department of Homeland Security and the White House Office of Homeland Security, while also overseeing the allocation of federal homeland security grant funding to state and local agencies.",GOHS,Office of Homeland Security; Maryland Governor's Office of Homeland Security
Governor's Office of Performance Improvement,https://www.gopi.maryland.gov/,"The Governor's Office of Performance Improvement (GOPI) is a specialized unit within the Maryland Executive Branch dedicated to enhancing the efficiency, accountability, and responsiveness of state government operations. The agency utilizes data-driven strategies and performance metrics to oversee the implementation of the State Comprehensive Plan, align agency activities with the Governor's priorities, and eliminate waste or duplication of services. By coordinating across various departments, GOPI ensures that state resources are managed effectively to deliver measurable results and improved services for Maryland residents.",GOPI,Governor's StateStat Office; StateStat; Maryland StateStat; Office of Performance Improvement
"Governor's Office of Small, Minority & Women Business Affairs",https://gomdsmallbiz.maryland.gov/,"The Governor's Office of Small, Minority & Women Business Affairs connects the small business community to greater economic opportunities in both the public and private sectors. As a coordinating office within the Executive Department, it is responsible for implementing and monitoring the State of Maryland’s three socioeconomic procurement programs: the Minority Business Enterprise (MBE) Program, the Small Business Reserve (SBR) Program, and the Veteran-Owned Small Business Enterprise (VSBE) Program across over 70 state agencies.",GOSBA,Governor's Office of Minority Affairs; GOMA
Governor's Office of the Deaf and Hard of Hearing,https://www.odhh.maryland.gov/,"The Governor's Office of the Deaf and Hard of Hearing (ODHH) serves as a coordinating body for the Governor of Maryland to promote the general welfare of Deaf and hard of hearing residents. The agency advocates for equal access to public resources, services, and community life by addressing policy gaps and offering expertise to other state agencies. Its work includes facilitating economic empowerment through the ""Deaf Ecosystem,"" coordinating sign language interpreter policies, and ensuring state programs are accessible and inclusive for the approximately 1.2 million Deaf and hard of hearing individuals in Maryland.",ODHH,GODHH; Office of the Deaf and Hard of Hearing
