Agency Name,URL,Summary,Acronym,Alias
Maryland State Archives,https://www.msa.maryland.gov/,"The Maryland State Archives is the central depository for government records of permanent value in Maryland, dating from the state's founding in 1634 to the present. The agency identifies, appraises, acquires, preserves, and makes accessible executive, legislative, and judicial records from state, county, and municipal governments, as well as special collections involving private papers, maps, and photographs. Additionally, the Archives oversees the Commission on Artistic Property and maintains the Maryland Manual On-Line.",MSA,Hall of Records; Maryland Hall of Records; State Archives
Maryland State Board of Contract Appeals,https://msbca.maryland.gov/,"The Maryland State Board of Contract Appeals (MSBCA) is an independent unit of the Executive Branch responsible for adjudicating bid protests and contract disputes between the State government and contractors or vendors. Its primary duties include resolving legal and factual disagreements regarding bid specifications, the qualification and selection of bidders, the bidding process, contract performance, compensation, claims, and termination.",MSBCA,Department of Transportation Board of Contract Appeals; MDOT Board of Contract Appeals
Maryland State Board of Elections,https://elections.maryland.gov/,"The Maryland State Board of Elections (SBE) is the official state agency responsible for supervising and administering elections in Maryland. It ensures compliance with state and federal election laws, oversees the activities of local boards of elections in each county and Baltimore City, manages the statewide voter registration system, certifies voting systems, and regulates campaign finance reporting to promote free, fair, and transparent elections.",SBE,State Administrative Board of Election Laws; SABEL
Maryland State Library,https://msla.maryland.gov/,"The Maryland State Library Agency (MSLA) is the official state agency responsible for providing strategic leadership, funding, and coordination for Maryland's 24 public library systems and the State Library Network. Established as an independent agency in 2017, it administers state and federal grants, facilitates resource sharing and interlibrary loans, and offers professional development for library staff. The agency also directly oversees specialized statewide programs, including the Maryland State Library for the Blind and Print Disabled (LBPD) and the Deaf Culture Digital Library, to ensure equitable access to information for all residents.",MSLA,Division of Library Development and Services; DLDS; Maryland Division of Library Development and Services; Office of Public Libraries; Division of Library Extension; MSL
Maryland State Lottery & Gaming Control Agency,https://www.mdlottery.com/,"The Maryland State Lottery & Gaming Control Agency serves as the regulatory body for all commercial gaming and lottery operations within Maryland. Its primary responsibilities include operating the state lottery, regulating the state's six casinos, and overseeing sports wagering and daily fantasy sports competitions. The agency ensures integrity and compliance across these industries while generating significant revenue to support state funds for education, public health, and safety.",MLGCA,State Lottery Agency; Maryland State Lottery Agency; Maryland Lottery; Maryland Lottery and Gaming
Maryland State Retirement Agency,https://www.sra.state.md.us/,"The Maryland State Retirement Agency (SRA) is the administrative body responsible for the operation and management of the State Retirement and Pension System (SRPS) of Maryland. The agency administers retirement, disability, and death benefits for more than 420,000 members, including state employees, teachers, law enforcement officers, judges, and legislators. Its primary responsibilities include collecting employer and employee contributions, supervising the management of the system's multi-billion dollar investment portfolio, and providing counseling and support services to participants and retirees to ensure the effective delivery of benefits.",SRA,State Retirement Agency; Maryland State Retirement and Pension Systems; State Retirement and Pension System of Maryland; MSRPS; SRPS
Maryland Tax Court,https://taxcourt.maryland.gov/,"The Maryland Tax Court is an independent administrative agency of the Maryland state government that serves as the highest level of administrative review for tax-related disputes. It performs quasi-judicial functions, hearing appeals from the final decisions of state and local taxing authorities, such as the Comptroller of Maryland and Property Tax Assessment Appeals Boards. The Court is responsible for making factual determinations and adjudicating cases involving income tax, sales and use tax, and assessments of real and personal property.",MTC,State Tax Commission; State Tax Commissioner
Maryland Teachers & State Employees Supplemental Retirement Plans,https://msrp.maryland.gov/,"The Maryland Teachers & State Employees Supplemental Retirement Plans (MSRP) is an independent state agency responsible for administering and overseeing voluntary supplemental retirement savings programs for Maryland state employees, teachers, and elected officials. The agency manages defined contribution plans, including the 457(b) Deferred Compensation Plan, 401(k) Savings and Investment Plan, 403(b) Tax-Deferred Annuity Plan, and the 401(a) Match Plan, which allow public employees to save for retirement with tax advantages in addition to their standard state pension.",MSRP,Maryland State Employees Supplemental Retirement Plans; Maryland Deferred Compensation Plan
Maryland Technology Development Corporation,https://www.tedcomd.com/,"The Maryland Technology Development Corporation, commonly known as TEDCO, functions as an independent instrumentality of the state dedicated to fostering economic growth through the support of early-stage, technology-based businesses. It facilitates the commercialization of technology from Maryland's research universities and federal laboratories into the marketplace by providing funding, resources, and connections to entrepreneurs. The agency manages various grant and investment programs designed to support an inclusive innovation ecosystem and accelerate the growth of technology companies across all regions of Maryland.",TEDCO,"Maryland Science, Engineering, and Technology Development Corporation"
Maryland Transit Administration,https://mta.maryland.gov/,"The Maryland Transit Administration (MTA) is a division of the Maryland Department of Transportation (MDOT) that operates one of the largest multi-modal public transit systems in the United States. Its primary responsibilities include the operation of local and commuter bus networks, the Baltimore Light RailLink, the Metro SubwayLink, and the MARC Train commuter rail service. The agency also provides paratransit services for people with disabilities and directs funding and technical assistance to locally operated transit systems across Maryland’s 23 counties, Baltimore City, and other municipalities.",MTA,Maryland Mass Transit Administration; Baltimore Metropolitan Transit Authority; Mass Transit Administration; MDOT MTA; MDOT Maryland Transit Administration
Maryland Transportation Authority,https://mdta.maryland.gov/,"The Maryland Transportation Authority (MDTA) is an independent state agency responsible for financing, constructing, operating, and maintaining Maryland's eight toll facilities, which include four bridges, two tunnels, and two toll roads. Established in 1971, the MDTA operates as a self-sufficient enterprise funded entirely by toll revenues and investment income rather than state tax dollars. In addition to managing its own facilities, the agency provides financing for other revenue-producing transportation projects for the Maryland Department of Transportation and maintains its own nationally accredited police force to ensure safety on its roadways.",MDTA,State Roads Commission; MdTA
Maryland Venture Capital Trust,https://msa.maryland.gov/msa/mdmanual/25ind/defunct/html/76vent.html,"The Maryland Venture Capital Trust was a state-chartered entity established in 1990 to provide a vehicle for Maryland's public pension funds and the state government to invest in venture capital limited partnerships. Acting as a ""fund-of-funds,"" the Trust sought to stimulate the state's economy by ensuring that the majority of its capital was invested in early-stage Maryland businesses. It was governed by a seven-member Board of Trustees appointed by the Governor and was administratively supported by the Department of Business and Economic Development. The Trust concluded its investment activities and completed its liquidation phase in January 2013, and it is currently categorized as a defunct independent agency of the State of Maryland.",,the Trust
MarylandSaves,https://www.marylandsaves.com/,"MarylandSaves is a state-sponsored retirement and emergency savings program designed to provide Maryland workers with a simple, automated way to save for the future. Administered by the Maryland Small Business Retirement Savings Board, the program is specifically aimed at private-sector employees whose employers do not offer a workplace retirement plan. Participants are enrolled in a portable Roth IRA, known as a WorkLife Account, which features automatic payroll deductions and a unique emergency savings component. To encourage participation, the state offers eligible employers a waiver of their $300 annual business filing fee for registering and facilitating the program for their staff.",MSBRSP,Maryland Small Business Retirement Savings Program; Maryland Small Business Retirement Savings Board; Maryland Small Business Retirement Savings Trust; MSBRSB; WorkLife Account
Morgan State University,https://www.morgan.edu/,"Morgan State University (MSU) is a public, historically black research university located in Baltimore and designated as Maryland's Preeminent Public Urban Research University. As a state agency governed by its own Board of Regents, it operates independently of the University System of Maryland. The university provides a comprehensive range of more than 100 academic programs leading to baccalaureate, master's, and doctoral degrees, with a particular emphasis on addressing the needs and challenges of urban environments through intensive research, effective public service, and community engagement.",MSU,Centenary Biblical Institute; Morgan College; Morgan State College; Morgan State
Motor Vehicle Administration,https://mva.maryland.gov/,"The Maryland Motor Vehicle Administration (MVA), an agency within the Maryland Department of Transportation (MDOT), is responsible for providing essential driver and vehicle services to the state's residents. Its primary responsibilities include issuing driver's licenses and identification cards, managing vehicle titling and registration, and administering the Vehicle Emissions Inspection Program (VEIP). Additionally, the agency oversees highway safety initiatives through its Highway Safety Office, maintains driving records, and regulates vehicle dealers and other automotive-related businesses to ensure compliance with Maryland's transportation laws.",MVA,MDOT MVA; Department of Motor Vehicles; DMV; Commissioner of Motor Vehicles
Office of Administrative Hearings,https://oah.maryland.gov/,"The Maryland Office of Administrative Hearings (OAH) is an independent, central panel agency within the executive branch that provides an impartial hearing process for contested cases involving more than 30 state agencies. Established in 1990 to centralize the adjudication of administrative disputes, the OAH employs independent Administrative Law Judges (ALJs) who hear cases ranging from motor vehicle license suspensions and special education disputes to regulatory enforcement and handgun permit reviews. The agency ensures due process by separating the adjudicative function from the state agencies whose actions are being contested, providing a transparent and objective forum for Maryland residents and businesses.",OAH,Maryland Office of Administrative Hearings
Office of Controlled Substances Administration,https://health.maryland.gov/OCSA/,"The Office of Controlled Substances Administration (OCSA), a division of the Maryland Department of Health, is responsible for enforcing the state's Controlled Dangerous Substance (CDS) Act. The agency ensures that controlled medications are available only for legitimate medical and scientific purposes by issuing CDS permits to practitioners, researchers, and medical establishments. Its primary duties include inspecting over 40,000 registrants, regulating the prescribing and dispensing of drugs, and managing the state's supplemental CDS list to protect the health and safety of Maryland residents.",OCSA,Division of Drug Control; Maryland Office of Controlled Substances Administration
Office of Legislative Audits,https://www.ola.state.md.us/index.html,"The Office of Legislative Audits (OLA) is an independent, non-partisan agency within the Maryland General Assembly's Department of Legislative Services. It is responsible for conducting periodic fiscal compliance audits of all executive and judicial branch agencies, as well as performance audits and evaluations of state programs and local school systems. The office focuses on ensuring financial accountability, legal compliance, and the efficiency of state government operations. Additionally, the OLA operates a fraud, waste, and abuse hotline to investigate allegations involving state agencies and employees.",OLA,Legislative Auditor; Maryland Office of Legislative Audits; Department of Fiscal Services
Office of the People's Counsel,https://opc.maryland.gov/,"The Maryland Office of the People's Counsel (OPC) is an independent state agency that represents the interests of Maryland's residential utility consumers. Established in 1924 as the oldest utility consumer advocacy office in the United States, it advocates for safe, reliable, and reasonably priced electric, natural gas, telecommunications, private water, and regulated transportation services. The agency represents consumers in proceedings before the Maryland Public Service Commission, federal regulatory agencies, and the courts, focusing on issues such as utility rates, service quality, and environmental sustainability.",OPC,Maryland People's Counsel; Maryland Office of People's Counsel
Office of the State Prosecutor,https://osp.maryland.gov/,"The Office of the State Prosecutor (OSP) is an independent agency within the executive branch of Maryland's government that investigates and prosecutes criminal offenses related to the integrity of state officials, institutions, and the electoral process. Its primary responsibilities include enforcing state election and public ethics laws, as well as prosecuting bribery, misconduct in office, extortion, and perjury. The office may initiate investigations independently or act upon requests from high-level state officials and agencies such as the Governor, the Attorney General, or the General Assembly.",OSP,State Prosecutor's Office; Office of State Prosecutor; Maryland State Prosecutor
Pimlico Community Development Authority,https://msa.maryland.gov/msa/mdmanual/25ind/html/55pimlico.html,"The Pimlico Community Development Authority (PCDA) is a state-mandated advisory body established by the Maryland General Assembly in 2005 to oversee the allocation of Local Impact Aid, which consists of revenue from Video Lottery Terminals (slots) and Racetrack Impact Funds. The authority provides community input and makes recommendations to the Mayor of Baltimore regarding funding priorities for infrastructure, public safety, housing, and economic development projects in the neighborhoods surrounding the Pimlico Race Course. Its work primarily focuses on supporting the implementation of the Park Heights Master Plan and revitalizing communities within a one-mile radius of the racetrack.",PCDA,Local Development Council; Local Development Council for the Pimlico neighborhood; Local Video Lottery Development Council
Property Tax Assessment Appeals Board,https://ptaab.maryland.gov,"The Maryland Property Tax Assessment Appeals Board (PTAAB) is an independent agency that provides a second level of administrative review for property tax assessment disputes. It is composed of 24 local boards—one for each of Maryland's 23 counties and Baltimore City—whose members are local residents appointed by the Governor. The PTAAB hears appeals regarding the valuation of real and personal property, as well as disputes over tax exemptions and various property tax credits, following an initial decision by the local Supervisor of Assessments from the State Department of Assessments and Taxation (SDAT). Decisions made by the PTAAB can be further appealed to the Maryland Tax Court.",PTAAB,Property Tax Assessment Appeals Boards; Local Property Tax Assessment Appeal Boards
Public Employee Relations Board,https://laborboard.maryland.gov/,"The Maryland Public Employee Relations Board (PERB) is a state agency established on July 1, 2023, to centralize and standardize the administration of collective bargaining for public sector employees. Formed by the consolidation of three previous labor boards, PERB is responsible for overseeing union representation elections, certifying exclusive representatives, and investigating and adjudicating unfair labor practice charges. The board's jurisdiction extends to state executive branch employees, higher education faculty and staff, community college employees, local public school system personnel, and independent home care providers, ensuring consistent enforcement of labor laws and resolution of disputes across Maryland's public workforce.",PERB,State Labor Relations Board; State Higher Education Labor Relations Board; Public School Labor Relations Board; Public Employees Relations Board
Public School Labor Relations Board,https://laborboards.maryland.gov/566-2/,"The Public School Labor Relations Board (PSLRB) was a Maryland state agency responsible for administering and enforcing labor relations laws pertaining to public elementary and secondary education. Established in 2010, the board adjudicated controversies and disputes between local boards of education and employee organizations, conducted elections for exclusive representatives, and resolved unit clarification issues. Effective July 1, 2023, the agency was abolished and its duties were consolidated into the Maryland Public Employee Relations Board (PERB), which now oversees labor relations for state, higher education, and public school employees.",PSLRB,Maryland Public School Labor Relations Board; Public Schools Labor Relations Board
Public Service Commission,https://www.psc.state.md.us/,"The Maryland Public Service Commission (PSC) is an independent administrative agency established in 1910 to regulate public utilities and passenger transportation services within the state. Its primary responsibility is to ensure that Maryland residents receive safe, reliable, and economical utility services by setting rates and overseeing the operations of companies providing electricity, natural gas, local telephone, for-profit water, and sewage disposal. The Commission also licenses retail energy suppliers, approves the construction of power plants and high-voltage transmission lines, and regulates common carriers including taxicabs in specific jurisdictions, passenger motor vehicle carriers, and railroads.",PSC,Maryland PSC; MPSC; Public Service Commission of Maryland; The Commission
Register of Wills,https://registers.maryland.gov/,"The Maryland Register of Wills is a constitutional state agency that operates offices in each county and Baltimore City. It is primarily responsible for the administrative probate of estates, which includes appointing personal representatives, overseeing the timely administration of decedents' estates, and maintaining permanent records of all probate proceedings. Additionally, the agency serves as the Clerk to the Orphans' Court, collects inheritance taxes and probate fees, and provides a secure service for the safekeeping of wills for living individuals.",ROW,Office of the Register of Wills; Clerk of the Orphans' Court; Prerogative Court of Maryland
Rural Maryland Council,https://rural.maryland.gov/,"The Rural Maryland Council (RMC) is an independent state agency, administratively housed within the Maryland Department of Agriculture, that serves as a partnership between federal, state, and local governments and the private sector. The agency's primary responsibility is to address the unique challenges facing Maryland's 18 rural counties by fostering regional cooperation, advocating for rural interests, and administering grant programs such as the Rural Maryland Prosperity Investment Fund (RMPIF). Its work focuses on improving the quality of life for residents by supporting agriculture, natural resource stewardship, economic development, and healthcare access in rural communities.",RMC,Forvm for Rural Maryland; The Forvm
Saint Mary's College of Maryland,https://www.smcm.edu/,"St. Mary's College of Maryland is a public liberal arts college and Maryland's designated public honors college. As an independent unit of the state government, it provides a high-quality, residential undergraduate education in the liberal arts and sciences, modeled after elite private colleges but accessible to Maryland residents. The college is responsible for fostering intellectual growth through diverse academic programs, including over 20 majors, a Master of Arts in Teaching, and specialized research at its waterfront campus, which shares its grounds with the Historic St. Mary's City archaeological site.",SMCM,St. Mary's Female Seminary; St. Mary's Female Seminary Junior College; St. Mary's Seminary Junior College; St. Mary's Seminary; St. Mary's College of Maryland
"Smart, Green & Growing",https://www.green.maryland.gov/,"Smart, Green & Growing is a multi-agency Maryland state initiative launched in 2008 to promote sustainable development, environmental protection, and economic growth. It coordinates efforts across various state departments—including the Maryland Department of Planning (MDP) and the Maryland Department of the Environment (MDE)—to protect the Chesapeake Bay, preserve farmland, revitalize communities, and reduce the state's carbon footprint. The initiative is grounded in 12 state planning visions that guide local and state-level decision-making regarding land use, transportation, and resource conservation.",SG&G,"Smart, Green and Growing initiative; Smart, Green and Growing legislation; PlanMaryland; Smart Growth initiative; Maryland: Smart, Green & Growing"
State Ethics Commission,https://ethics.maryland.gov/,"The Maryland State Ethics Commission (MSEC) is an independent agency responsible for the administration and enforcement of the Maryland Public Ethics Law. Its primary mission is to maintain public confidence in the integrity of State government by ensuring the impartiality and independent judgment of State officials and employees. The Commission's core responsibilities include managing financial disclosure programs for public officials, regulating lobbyist registration and reporting, providing mandatory ethics training, and issuing formal advisory opinions. Additionally, it investigates alleged ethics violations, handles complaints, and oversees the approval of local government and school board ethics laws to ensure they meet minimum State standards.",MSEC,Maryland Public Disclosure Advisory Board; State Board of Ethics
State Higher Education Labor Relations Board,https://laborboards.maryland.gov/higher-education-board/,"The State Higher Education Labor Relations Board (SHELRB) was an independent Maryland state agency responsible for overseeing collective bargaining for employees of the state's public institutions of higher education, including the University System of Maryland, Morgan State University, St. Mary's College of Maryland, and Baltimore City Community College. Its primary duties included supervising elections for exclusive representatives, investigating unfair labor practice charges, and resolving disputes related to labor-management relations. In July 2023, the board was abolished and its functions were consolidated into the newly created Public Employee Relations Board (PERB).",SHELRB,Maryland State Higher Education Labor Relations Board; Higher Education Labor Relations Board
State Highway Administration,https://www.sha.maryland.gov/,"The Maryland State Highway Administration (MDOT SHA) is a modal agency of the Maryland Department of Transportation responsible for planning, designing, constructing, and maintaining the state's non-toll, numbered highways and bridges outside of Baltimore City. The agency manages approximately 18,000 lane miles of roadway and more than 2,500 bridges, supporting the majority of vehicle travel in the state. Its primary responsibilities include snow and ice removal, traffic signal management, highway safety improvements, and administering the statewide ""Adopt-a-Highway"" program.",MDOT SHA,State Roads Commission; SRC; SHA; MDSHA; MSHA
State House Trust,https://msa.maryland.gov/msa/mdmanual/25ind/html/68shous.html,"The State House Trust is a Maryland state agency established in 1969 to oversee and manage the Maryland State House and the surrounding grounds within State Circle in Annapolis, including Lawyer's Mall. The Trust is responsible for supervising all repairs, landscaping, alterations, and improvements to the historic site, as well as regulating the use of the building's public areas and providing oversight for any exhibits or displays. It consists of four ex officio members—the Governor, the President of the Senate, the Speaker of the House of Delegates, and the Chairman of the Maryland Historical Trust—who serve as trustees to ensure the preservation and historical integrity of the oldest U.S. state capitol in continuous legislative use.",,Maryland State House Trust
State Workers' Compensation Commission,https://www.wcc.state.md.us/,"The Maryland State Workers' Compensation Commission is an independent agency that administers the state's Workers' Compensation Law and adjudicates claims for compensation arising from workplace injuries. The Commission's primary responsibilities include receiving and processing accident reports, conducting hearings for contested cases throughout the state, and referring injured workers to appropriate rehabilitation services. It also monitors insurance coverage, assesses penalties for non-compliance, and approves and oversees self-insured employers to ensure their financial solvency and adherence to state regulations.",WCC,State Industrial Accident Commission; Workmen's Compensation Commission; Workers' Compensation Commission; Employer and Employee Cooperative Fund
Subsequent Injury Fund,https://mdsif.state.md.us/,"The Subsequent Injury Fund (SIF) is an independent Maryland state agency that reviews and investigates workers' compensation claims involving pre-existing health conditions that substantially increase an injured worker's disability. Its primary mission is to encourage the employment of individuals with disabilities by limiting the financial liability of employers and insurers to the damages caused solely by a current workplace injury. The SIF assumes responsibility for the additional liability resulting from the combined effects of all injuries and conditions, managing a fund financed through assessments on permanent disability and settlement awards paid by insurers.",SIF,Subsequent Injury Fund Board; Workmen's Compensation Fund Board; Second Injury Fund
University System of Maryland,https://www.usmd.edu/,"The University System of Maryland (USM) is the state's public higher education system, consisting of 12 institutions, three regional higher education centers, and a system office. Its primary responsibilities include providing accessible and affordable undergraduate and graduate education, conducting groundbreaking research, and promoting economic growth and workforce development. The system coordinates academic programs and manages resources across its network to improve the quality of life for Maryland residents through innovation, community service, and strategic partnerships with business and government.",USM,University of Maryland System; University of Maryland and Board of Trustees of State Universities and Colleges merger
Volunteer Maryland,https://volunteer.maryland.gov/,"Volunteer Maryland (VM) is an AmeriCorps program and a unit within the Maryland Governor's Office of Community Initiatives (GOCI) that serves as a capacity-building agency for the state. Founded in 1993, it mission is to bridge the gap between those in need and those who can help by developing high-quality volunteer programs. The agency recruits and trains AmeriCorps members to serve as Volunteer Maryland Coordinators (VMCs) who are placed at nonprofit organizations, schools, and government agencies to build sustainable volunteer management systems and mobilize local volunteers to address critical community needs in education, human services, and the environment.",VM,Volunteer Maryland!; AmeriCorps Volunteer Maryland; Volunteer Maryland Program; unit of the Governor's Office of Community Initiatives
Maryland State Innovation Team,https://innovation.maryland.gov/Pages/default.aspx,"The Maryland State Innovation Team is a solution incubator launched in 2024 through a partnership between the State of Maryland and Bloomberg Philanthropies. As the first state-level team of its kind, it is charged with identifying, testing, and piloting novel initiatives to address the Governor's top priorities, specifically reducing child poverty and enhancing economic mobility. The team utilizes multi-disciplinary expertise in data analysis, rapid prototyping, and project management to help state agencies develop and incubate evidence-based strategies to improve outcomes for Maryland families.",i-team,Innovation Team; Bloomberg Philanthropies-supported state Innovation Team; Bloomberg Philanthropies Innovation Team
